;KONEÈNÉ POØADÍ SPAC 2004;;;;;;;;;;;;;;;;;
;7. roèník;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Kategorie A;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;9 nej.;Bolat.;Kružb.;Bohum.;V.Pol.;TdJ;Kri;Èas.j.;Liptáò;Èas.dv.;VC VK;M 60;Bolat.;celkem;
1.;KOTAS;Wieslaw;TJ TŽ TØINEC;140;0;7;3;7;15;12;7;6;12;12;15;30;153;23
2.;ADÁMEK;Jan;CINELLI MORNING SKY;129;3;0;24;8;10;0;12;24;15;8;12;16;132;23
3.;MALIŠ;Petr;CINELLI MORNING SKY;118;7;10;0;0;12;0;10;30;15;0;10;24;118;23
4.;RAŠKA;Zbynìk;CK VALAŠSKÉHO KRÁLOVSTVÍ;106;1;8;20;4;8;8;8;14;10;10;8;20;119;23
5.;KLÁŠTERKA;Tomáš;CYKLOSPORT PÀIKRYL, ST. VES n.O.;98;15;12;16;10;2;15;0;20;8;0;0;0;98;23
6.;HUDEÈEK;Petr;YOGI RACING OSTRAVA;48;8;0;0;12;6;0;0;0;0;15;7;0;48;23
7.;ILMAK;Mariusz;SK ŠAFRATA BOHUMÍN;43;10;0;14;15;4;0;0;0;0;0;0;0;43;23
8.;STANÌK;Pavel;CYKLOSPORT PÀIKRYL, ST. VES n.O.;42;0;0;0;0;0;0;0;12;7;4;5;14;42;23
9.;KIMLA;Jan;YOGI RACING OSTRAVA;39;1;2;8;0;7;7;4;10;0;0;0;0;39;23
10.;BABÁN;Marcel;CK FESO PETØVALD;38;0;3;0;0;0;0;15;0;8;6;6;0;38;23
11.;LANÈA;Radek;CK VALAŠSKÉHO KRÁLOVSTVÍ;28;2;4;0;5;0;10;0;0;0;7;0;0;28;23
12.;OCÁSEK;Zbynìk;BIKE CLUB KRNOV;27;12;15;0;0;0;0;0;0;0;0;0;0;27;23
13.;SIGMUND;Martin;CK VALAŠSKÉHO KRÁLOVSTVÍ;26;0;0;6;0;0;0;0;0;0;5;3;12;26;23
14.;PAVLECH;Lukáš;CK FESO PETØVALD;22;0;0;0;0;0;0;6;16;0;0;0;0;22;23
15.;PØIKRYL;Martin;CYKLOSPORT PÀIKRYL, ST. VES n.O.;18;0;0;10;0;1;0;0;0;7;0;0;0;18;23
16.;KOPØIVA;Jiøí;TJ VELKÁ POLOM;17;1;6;0;6;0;0;0;0;0;0;4;0;17;23
17.;KREMSER;Martin;CINELLI MORNING SKY;17;1;1;12;3;0;0;0;0;0;0;0;0;17;23
18.;MARTINÍK;Ivo;ŽD BOHUMÍN;16;4;1;0;0;0;0;5;0;6;0;0;0;16;23
19.;MAŠEK;Petr;BIKE KLUB KRNOV;11;6;5;0;0;0;0;0;0;0;0;0;0;11;23
20.;MAŠEK;Jan;BIKE KLUB KRNOV;6;5;1;0;0;0;0;0;0;0;0;0;0;6;23
21.;FIGURA;Michal;YOGI RACING OSTRAVA;5;0;0;0;2;3;0;0;0;0;0;0;0;5;23
22.;LUKOSZ;Petr;YOGI RACING OSTRAVA;5;0;0;0;0;5;0;0;0;0;0;0;0;5;23
23.;SZYMPRUCH;David;SK ŠAFRATA BOHUMÍN;4;0;0;4;0;0;0;0;0;0;0;0;0;4;23
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Kategorie B;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
poøadí;pøíjmení;jméno;klub;9 nej.;Bolat.;Kružb.;Bohum.;V.Pol.;TdJ;Kri;Èas.j.;Liptáò;Èas.dv.;VC VK;M 60;Bolat.;celkem;
1.;CELTA;Tomáš;KCK ZLÍN;170;15;15;30;0;12;15;15;20;15;0;15;30;182;14
2.;BIOLEK;Martin;CINELLI MORNING SKY;155;12;12;20;15;15;0;0;30;12;15;12;24;167;14
3.;FAJKUS;Martin;SK ŠAFRATA BOHUMÍN;92;10;8;16;8;0;0;10;12;0;10;6;12;92;14
4.;PLUCNAR;Pavel;TJ TŽ TØINEC;71;0;0;12;10;7;10;8;14;10;0;0;0;71;14
5.;VODIÈKA;Štìpán;CYKLOSPORT STARÁ VES N.O.;56;7;0;14;0;6;0;7;0;0;0;8;14;56;14
6.;KANTOR;Tomáš;TJ TŽ TØINEC;48;0;0;0;0;10;12;0;16;10;0;0;0;48;14
7.;ÈÍŽEK;Libor;YOGI RACING OSTRAVA;40;8;0;0;0;0;0;0;0;0;12;0;20;40;14
8.;KOKEŠ;Pavel;KCK ZLÍN;39;0;0;24;0;0;0;0;0;15;0;0;0;39;14
9.;PREMUS;Jan;CYKLOVETERÁN KLUB OPAVA;30;0;7;0;0;0;0;0;0;0;0;7;16;30;14
10.;KOLÁÈEK;Petr;CK FESO PETØVALD;24;0;0;0;0;0;0;0;24;0;0;0;0;24;14
11.;SKALÍK;David;CK VALAŠSKÉHO KRÁLOVSTVÍ;20;0;0;0;12;8;0;0;0;0;0;0;0;20;14
12.;MUSIL;Pavel;TJ BANÍK HAVÍØOV;12;0;0;0;0;0;0;12;0;0;0;0;0;12;14
13.;GOLA;Petr;JUMP SPORT, F - M;10;0;0;0;0;0;0;0;0;0;0;10;0;10;14
14.;VÁVRA;Stanislav;BIKE KLUB KRNOV;10;0;10;0;0;0;0;0;0;0;0;0;0;10;14
;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Kategorie C;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
